date,dailyInfectionsPer100K
22/08/2022 00:00,NaN
23/08/2022 00:00,NaN
24/08/2022 00:00,NaN
25/08/2022 00:00,NaN
26/08/2022 00:00,NaN
27/08/2022 00:00,NaN
28/08/2022 00:00,NaN
29/08/2022 00:00,NaN
30/08/2022 00:00,NaN
31/08/2022 00:00,NaN
01/09/2022 00:00,NaN
02/09/2022 00:00,NaN
03/09/2022 00:00,NaN
04/09/2022 00:00,NaN
05/09/2022 00:00,NaN
06/09/2022 00:00,NaN
07/09/2022 00:00,NaN
08/09/2022 00:00,NaN
09/09/2022 00:00,NaN
10/09/2022 00:00,NaN
11/09/2022 00:00,NaN
12/09/2022 00:00,NaN
13/09/2022 00:00,NaN
14/09/2022 00:00,NaN
15/09/2022 00:00,NaN
16/09/2022 00:00,NaN
17/09/2022 00:00,NaN
18/09/2022 00:00,NaN
19/09/2022 00:00,NaN
20/09/2022 00:00,NaN
21/09/2022 00:00,NaN
